Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Tweet_Number_of_share,Comment_Website,Comment_Name,Comment_Author__URL,Comment_Timestamp,Comment_Content,Comment_Image_URL,Comment_Video_URL,Comment_Number_of_Likes,Comment_Number_of_Retweets,Comment_Number_of_Reviews,Comment_Number_of_share
Post&Comment,,https://twitter.com/bbva,https://twitter.com/bbva/status/1311212458862874625,@bbva,https://twitter.com/bbva,1601452385000,"¿Has probado alguna vez la patata de Prades?  Su color blanquecino, su textura consistente, su gusto dulce y su aroma a castañas te conquistarán . ¡Te contamos cómo cocinarlas!  #MiRecetaSostenible",https://pbs.twimg.com/card_img/1310980300269400066/XPNk3wZK?format=jpg&name=small,null,2,,,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Post&Comment,,https://twitter.com/bbva,https://twitter.com/bbva/status/1311236914004078593,@bbva,https://twitter.com/bbva,1601458216000," ""En BBVA los clientes constituyen la piedra angular del trabajo diario, la estrategia y la actividad"" afirma José Ramón Vizmanos, responsable de grandes clientes, en una entrevista a . ¡Sigue leyendo! ",https://pbs.twimg.com/card_img/1311206150470332417/iGlJv_bK?format=jpg&name=small,null,5,2,,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Post&Comment,,https://twitter.com/bbva,https://twitter.com/bbva/status/1311271869119696898,@bbva,https://twitter.com/bbva,1601466550000,"En #BBVA celebramos el #DíaInternacionaldelPodcast como más nos gusta, ¡comenzando la cuarta temporada de Blink!  ¿De qué hablaremos?  Descúbrelo ",https://pbs.twimg.com/card_img/1311267948913360896/shiApp3J?format=jpg&name=small,null,3,,1,null,https://twitter.com/pablilloferher/status/1311272997173460993,@pablilloferher,https://twitter.com/pablilloferher,1601466819000,"Que no falte el simbolito de la agenda 2030, como buenos corporativistas",null,null,,,,null
Post&Comment,,https://twitter.com/bbva,https://twitter.com/bbva/status/1311271869119696898,@bbva,https://twitter.com/bbva,1601466550000,"En #BBVA celebramos el #DíaInternacionaldelPodcast como más nos gusta, ¡comenzando la cuarta temporada de Blink!  ¿De qué hablaremos?  Descúbrelo ",https://pbs.twimg.com/card_img/1311267948913360896/shiApp3J?format=jpg&name=small,null,3,,1,null,https://twitter.com/bbva/status/1311271869119696898/likes,@bbva,https://twitter.com/bbva,null,"En #BBVA celebramos el #DíaInternacionaldelPodcast como más nos gusta, ¡comenzando la cuarta temporada de Blink!  ¿De qué hablaremos?  Descúbrelo ",null,null,null,null,null,null
Post&Comment,,https://twitter.com/bbva,https://twitter.com/bbva/status/1311003584658657283,@bbva,https://twitter.com/bbva,1601402586000,¿Estás pensando en viajar?  Si eres cliente de    disfrutarás de numerosos beneficios al pagar con tarjeta los servicios de  . ¡Aprovecha tu oportunidad! ,https://pbs.twimg.com/card_img/1311003586613178370/x11PQ5cd?format=jpg&name=small,null,6,2,,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Post&Comment,,https://twitter.com/bbva,https://twitter.com/bbva/status/1311025496541540353,@bbva,https://twitter.com/bbva,1601407810000, BBVA Executive Chairman Carlos Torres Vila and Queen Letizia shone the spotlight on the work of Latin American women #entrepreneurs in an event organised by . Learn more #MujeresIncansablesFMBBVA ,https://pbs.twimg.com/card_img/1310865642959052800/nlygxmsj?format=jpg&name=small,null,9,2,,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Post&Comment,,https://twitter.com/bbva,https://twitter.com/bbva/status/1311041836912390144,@bbva,https://twitter.com/bbva,1601411706000," Según el último informe de  se han impulsado los procesos #online hasta superar en 1,5 millones los clientes móviles respecto al año anterior. Todos los datos ",https://pbs.twimg.com/card_img/1310675196249083905/HFSnQUIa?format=jpg&name=small,null,4,2,,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Post&Comment,,https://twitter.com/bbva,https://twitter.com/bbva/status/1311059475592343554,@bbva,https://twitter.com/bbva,1601415911000," ¡Buenas noticias! Con motivo de su 30 aniversario, el diario  elige a #BBVA como una de las empresas más reconocidas en Perú por sus avances en transformación #digital . ¡Seguimos! ",https://pbs.twimg.com/card_img/1310553946218524672/Km6C567H?format=jpg&name=small,null,3,2,,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Post&Comment,,https://twitter.com/bbva,https://twitter.com/bbva/status/1311192079930925056,@bbva,https://twitter.com/bbva,1601447527000, El presidente de #BBVA Carlos Torres Vila y la reina Letizia destacan el trabajo de las #emprendedoras latinoamericanas y el papel de la #tecnología durante la pandemia en un acto de la . Te lo contamos  #MujeresIncansablesFMBBVA ,https://pbs.twimg.com/card_img/1310694726690058241/gSkFgdY9?format=jpg&name=small,null,2,2,1,null,https://twitter.com/bbva/status/1311192079930925056/retweets,@bbva,https://twitter.com/bbva,null, El presidente de #BBVA Carlos Torres Vila y la reina Letizia destacan el trabajo de las #emprendedoras latinoamericanas y el papel de la #tecnología durante la pandemia en un acto de la . Te lo contamos  #MujeresIncansablesFMBBVA ,null,null,null,null,null,null
Post&Comment,,https://twitter.com/bbva,https://twitter.com/bbva/status/1310976164555632643,@bbva,https://twitter.com/bbva,1601396049000," #BBVA's Executive Chairman Carlos Torres Vila said ""We need to invest in education focusing in the #digital world"" in his last interview at . Learn more ",https://pbs.twimg.com/card_img/1310841212891525121/G1OgPXGu?format=jpg&name=small,null,1,,3,null,https://twitter.com/roxanabaglietto/status/1311003251987406848,@roxanabaglietto,https://twitter.com/roxanabaglietto,1601402507000,Son un desastre imposible sacar un turno,null,null,,,,null
Post&Comment,,https://twitter.com/bbva,https://twitter.com/bbva/status/1310976164555632643,@bbva,https://twitter.com/bbva,1601396049000," #BBVA's Executive Chairman Carlos Torres Vila said ""We need to invest in education focusing in the #digital world"" in his last interview at . Learn more ",https://pbs.twimg.com/card_img/1310841212891525121/G1OgPXGu?format=jpg&name=small,null,1,,3,null,https://twitter.com/andreaquecan/status/1311003374255517701,@andreaquecan,https://twitter.com/andreaquecan,1601402536000,"el   es una entidad bastante grande, como es posible que no puedan revisar las condiciones de la App?",null,null,,,,null
Post&Comment,,https://twitter.com/bbva,https://twitter.com/bbva/status/1310976164555632643,@bbva,https://twitter.com/bbva,1601396049000," #BBVA's Executive Chairman Carlos Torres Vila said ""We need to invest in education focusing in the #digital world"" in his last interview at . Learn more ",https://pbs.twimg.com/card_img/1310841212891525121/G1OgPXGu?format=jpg&name=small,null,1,,3,null,https://twitter.com/andreaquecan/status/1311002740504637441,@andreaquecan,https://twitter.com/andreaquecan,1601402385000,  Por favor no borren los mensaje,null,null,,,1,null
Post&Comment,,https://twitter.com/bbva,https://twitter.com/bbva/status/1310976164555632643,@bbva,https://twitter.com/bbva,1601396049000," #BBVA's Executive Chairman Carlos Torres Vila said ""We need to invest in education focusing in the #digital world"" in his last interview at . Learn more ",https://pbs.twimg.com/card_img/1310841212891525121/G1OgPXGu?format=jpg&name=small,null,1,,3,null,https://twitter.com/bbva/status/1311274740460457992,@bbva,https://twitter.com/bbva,1601467235000,"Hola, copiamos a nuestros compañeros de  para que puedan ayudarte. Un saludo.",null,null,,,,null
Post&Comment,,https://twitter.com/bbva,https://twitter.com/bbva/status/1310976164555632643,@bbva,https://twitter.com/bbva,1601396049000," #BBVA's Executive Chairman Carlos Torres Vila said ""We need to invest in education focusing in the #digital world"" in his last interview at . Learn more ",https://pbs.twimg.com/card_img/1310841212891525121/G1OgPXGu?format=jpg&name=small,null,1,,3,null,https://twitter.com/andreaquecan/status/1311002979454025729,@andreaquecan,https://twitter.com/andreaquecan,1601402442000," la app no esta funcionando y desde hace un mes, no puedo tener acceso a mis pagos",null,null,,,,null
